2481,5034,5,0
2486,5044,10,0
2493,5047,0,0
2512,5034,10,0
2495,5048,0,0
2482,5059,0,0
2481,5062,0,0
2482,5070,0,0
2494,5070,0,0
2494,5093,0,0
2501,5093,0,0
2504,5093,0,0
2508,5086,10,0
2525,5086,10,0
2505,5086,0,0
2505,5092,0,0
2501,5093,0,0
2500,5093,0,0
2493,5092,0,0
2493,5117,0,0
2501,5117,0,0
2501,5116,0,0
2507,5117,0,0
2507,5112,15,0
2503,5117,0,0
2500,5117,0,0
2493,5116,0,0
2493,5123,0,0
2494,5126,0,0
2494,5163,15,0
2481,5162,15,0
2476,5151,5,0
2494,5148,5,0
2493,5142,0,0
2493,5124,0,0
2493,5115,0,0
2493,5104,0,0
2455,5105,0,0
2455,5098,10,0
2455,5105,0,0
2493,5104,0,0
2494,5068,0,0
2481,5069,0,0
2481,5063,0,0
2481,5061,0,0
2481,5060,0,0
