5976,5641,0,0
5973,5640,0,0
5967,5638,0,0
5966,5638,0,0
5964,5642,0,0
5956,5639,0,0
5960,5630,0,0
5970,5634,0,0
5966,5644,0,0
5954,5639,0,0
5958,5630,0,0
5962,5632,0,0
5967,5634,0,0
5970,5636,0,0
5969,5640,0,0
5965,5646,5,1
5965,5644,0,0
5956,5641,0,0
5960,5633,0,0
5964,5635,0,0
5969,5638,0,0
5970,5634,5,2
5970,5638,0,0
5975,5639,0,0
5993,5645,5,3
5993,5645,0,0
5975,5639,0,0
5970,5638,0,0
5970,5634,0,0
5969,5638,0,0
5964,5635,0,0
5960,5633,0,0
5956,5641,0,0
5965,5644,0,0
5965,5646,0,0
5969,5640,0,0
5970,5636,0,0
5967,5634,0,0
5962,5632,0,0
5958,5630,0,0
5954,5639,0,0
5966,5644,0,0
5970,5634,0,0
5960,5630,0,0
5956,5639,0,0
5964,5642,0,0
5966,5638,0,0
5967,5638,0,0
5973,5640,0,0
5976,5641,0,0
