91,91,64,44,40,40,38,38,164,163,186,113,72,112,46,99,130
99,99,59,41,39,119,59,43,164,134,186,141,67,123,13,132,136
62,62,67,107,130,130,91,45,182,189,231,197,197,195,80,138,138
43,46,75,127,140,129,230,77,68,198,232,254,227,251,121,227,153
59,61,77,107,150,125,237,171,72,208,241,253,224,243,197,247,238
66,68,79,95,151,79,218,208,107,212,234,253,196,236,152,135,245
64,66,83,115,147,132,128,204,216,209,224,235,135,227,211,130,221
60,60,84,134,130,116,77,114,128,137,98,167,130,164,155,133,215
60,63,84,117,126,125,82,56,96,138,113,161,88,123,58,209,152
60,62,84,105,126,79,79,56,65,70,150,95,63,89,22,171,111
53,61,85,64,111,51,67,57,60,92,63,80,90,190,12,114,113
40,49,72,64,111,51,64,57,61,144,38,69,129,166,11,38,113
67,67,71,73,98,72,57,51,75,52,29,143,66,127,16,15,126
23,23,29,65,75,74,44,38,74,21,113,75,66,105,19,12,162
30,31,72,101,114,100,95,94,119,1,67,59,57,60,160,0,40
68,71,105,105,118,118,77,45,63,1,64,58,78,118,123,62,29
65,64,62,62,65,68,64,62,76,4,122,76,69,69,94,194,26
